44.54151020606281,"[63.34359922 62.22251524 61.07461447 57.81833731 52.7025575  49.58712598
 44.00005582 35.89514554 15.73878915  3.03236182]"

41.30378361138271,"[60.22709916 59.05289124 56.35548842 53.71042561 47.95859423 45.20720116
 38.67786062 30.82161433 15.98653091  5.04013044]"

45.59343886835281,"[67.29250602 64.35326309 63.26984673 60.09060958 57.47264837 52.48736348
 42.74708536 32.60298637 12.47528315  3.14279652]"

42.50555125982589,"[61.5892546  60.67175834 58.26954117 53.9501278  49.40001454 46.26276221
 40.2812946  33.1028748  16.08551542  5.44236911]"

47.49270243360718,"[66.80088709 65.53301    64.21332663 62.28086973 58.12102046 54.97553099
 44.64330692 32.96112607 21.89783992  3.50010652]"

43.193955654595605,"[62.18012803 61.1386423  58.9012501  55.53881197 50.84411301 47.67922479
 39.7580118  33.10035889 16.17413739  6.62487825]"

48.589942121766214,"[68.7619999  67.19043149 66.05643621 62.81354837 58.91812719 54.43523594
 49.90456994 37.01449335 18.71557638  2.08900245]"

44.32767701630433,"[63.46149119 62.87765242 60.23645148 57.27157673 51.80879337 48.25854948
 39.86329356 34.54350222 18.48902376  6.46643595]"

48.56786248933707,"[69.30812613 67.16911174 65.91960718 62.75701159 59.16192694 55.72708324
 47.20175731 36.5435447  19.16506141  2.72539464]"

44.065756867141246,"[63.71711389 62.73682642 60.17705672 56.19884236 52.70186309 47.30724929
 40.51264075 31.2942936  19.28624286  6.72543968]"

